chem_diff,dim_chem_diff,weight_chem_diff,dim_weight_chem_diff,goal_diff,team_1,team_2,date,rank_diff,,Group A,,,,ID,Team
6276.615385,1041.076923,0.3683260206,0.1504881357,-2,4398,209,2022-11-20,-21.77,,Team,Average Total Minutes,Average Dim Minutes,,205,Brazil
4943.653846,1567.346154,0.3330880124,0.2517436293,0,578,660,2022-11-21,-52.88,,4398,11658.76923,3979.538462,,459,Belgium
-6380.3,-2993.830769,-0.3171958816,-0.4389375221,-4,469,448,2022-11-21,-178.82,,449,9120.769231,3850.269231,,202,Argentina
-4863.230769,-1684.423077,-0.3635161398,-0.279985168,-4,654,449,2022-11-21,-94.82,,209,5382.153846,2938.461538,,478,France
-4044.076923,-1828.961538,-0.2855505646,-0.2720687939,1,655,202,2022-11-22,-334.91,,654,4257.538462,2165.846154,,448,England
3167.884615,726.2692308,0.1926734271,0.1069101203,0,479,659,2022-11-22,157.61,,Group B,,,,164,Spain
-8295.230769,-3775.846154,-0.3957880674,-0.4845846291,0,471,203,2022-11-22,-103.39,,Team,Average Total Minutes,Average Dim Minutes,,449,Netherlands
6136.684615,1877.495385,0.4025397623,0.3216946983,3,478,628,2022-11-22,281.12,,448,13247.5,4907.230769,,482,Portugal
4457.384615,1615.730769,0.3854355823,0.3180163062,0,477,2869,2022-11-23,73.8,,578,9892.769231,3896.653846,,479,Denmark
-8269.346154,-2518.038462,-0.3465660618,-0.275479161,1,627,481,2022-11-23,-104.27,,660,4949.115385,2329.307692,,481,Germany
2743.730769,2192.653846,0.175040793,0.3207997344,7,164,214,2022-11-23,216.87,,469,6867.2,1913.4,,203,Mexico
-8395.807692,-600.6153846,-0.3930699434,-0.07996722655,-1,206,459,2022-11-23,-348.1,,Group C,,,,212,Uruguay
11912.53846,3499.115385,0.7307926441,0.6070920945,1,475,656,2022-11-24,136.48,,Team,Average Total Minutes,Average Dim Minutes,,660,United States
-2705.192308,-180.4230769,-0.1667152579,-0.03062230317,0,451,212,2022-11-24,-114.93,,203,14627,5783.884615,,477,Croatia
