chem_diff,goal_diff,team_1,team_2,date
-10246,-7,4860,482,2010-06-21
-13468,-5,655,454,2018-06-14
-31327,-4,656,477,2014-06-18
-28934,-4,628,481,2010-06-13
-5275,-4,655,457,2006-06-19
10236,-3,455,208,2014-06-14
6238,-3,448,481,2010-06-27
2860,-3,467,212,2010-06-16
-2732,-3,627,205,2006-06-22
-3278,-3,215,478,2014-06-15
-11304,-3,4860,4789,2010-06-25
-279,-3,203,466,2018-06-27
-13114,-3,4469,205,2006-06-27
-22371,-3,202,477,2018-06-21
-38571,-3,656,205,2014-06-23
-39910,-3,659,459,2018-06-23
-55956,-3,628,164,2014-06-23
-12379,-3,207,205,2010-06-28
-311,-2,482,481,2006-07-08
-88,-2,628,211,2018-06-26
1442,-2,466,448,2018-07-07
7514,-2,455,451,2010-06-12
9639,-2,471,209,2006-06-09
22160,-2,212,214,2014-06-14
17513,-2,451,624,2014-06-22
22660,-2,479,627,2010-06-24
24933,-2,481,451,2018-06-27
-1133,-2,214,205,2018-06-22
16172,-2,477,478,2018-07-15
-1219,-2,468,210,2010-06-20
160,-2,207,449,2014-06-23
-5364,-2,203,205,2018-07-02
-4835,-2,469,452,2014-06-25
-33955,-2,479,449,2010-06-14
-26134,-2,469,482,2006-06-17
-25993,-2,214,481,2006-06-09
-21197,-2,450,162,2006-06-22
-17021,-2,6757,205,2018-06-27
-41779,-2,2627,448,2006-06-15
-8418,-2,481,162,2006-07-04
-8078,-2,164,478,2006-06-27
-7345,-2,659,164,2006-06-19
-5447,-2,2620,454,2018-06-19
-14158,-2,212,478,2018-07-06
508,-1,215,209,2014-06-20
-515,-1,659,457,2006-06-23
-962,-1,4789,208,2014-06-19
-1086,-1,202,478,2018-06-30
-2210,-1,448,459,2018-06-28
-6060,-1,657,202,2010-06-12
-7902,-1,4469,482,2014-06-26
-7921,-1,203,202,2006-06-24
-8122,-1,657,455,2010-06-17
1439,-1,203,212,2010-06-22
-8405,-1,475,207,2010-06-21
-3050,-1,2620,212,2018-06-15
1785,-1,451,212,2010-06-26
11543,-1,660,459,2014-07-01
3572,-1,477,205,2006-06-13
3585,-1,203,449,2014-06-29
7101,-1,660,4469,2006-06-22
9540,-1,628,478,2018-06-16
12308,-1,2659,659,2018-06-28
13804,-1,452,657,2014-06-21
14475,-1,478,467,2010-06-22
19113,-1,162,468,2010-06-24
25963,-1,162,214,2014-06-20
30519,-1,459,478,2018-07-10
55262,-1,164,475,2010-06-16
-8859,-1,214,471,2006-06-20
3182,-1,451,459,2014-06-26
-9605,-1,459,202,2014-07-05
-15655,-1,655,164,2006-06-23
-12249,-1,4469,660,2014-06-16
-66336,-1,210,164,2010-07-03
-11402,-1,208,627,2018-06-19
-55000,-1,478,481,2014-07-04
-52638,-1,482,164,2010-06-29
-51681,-1,202,481,2014-07-13
-48538,-1,656,449,2010-06-24
-47479,-1,627,449,2010-06-19
-40391,-1,212,449,2010-07-06
-38807,-1,657,202,2014-06-25
-29087,-1,209,448,2006-06-25
-25387,-1,451,203,2018-06-23
-25042,-1,624,472,2010-06-13
-23841,-1,628,162,2006-06-26
-57011,-1,660,481,2014-06-26
-20617,-1,4860,205,2010-06-15
-22307,-1,6757,475,2018-06-22
-12624,-1,655,212,2018-06-20
-13217,-1,451,466,2018-06-18
-13582,-1,4789,449,2006-06-16
-13643,-1,656,203,2014-06-13
-12458,-1,203,482,2006-06-21
-14265,-1,448,477,2018-07-11
-16300,-1,475,202,2014-07-01
-17100,-1,472,448,2010-06-23
