chem_diff,goal_diff,team_1,team_2,date
-6962.700963216963,-7,4860,482,2010-06-21
-86685.51300740399,-6,205,481,2014-07-08
-888.9293804007502,-6,446,202,2006-06-16
-22909.005698970577,-5,655,454,2018-06-14
-43706.78110799337,-4,628,481,2010-06-13
-37603.58398262867,-4,482,481,2014-06-16
49741.17160070446,-4,164,449,2014-06-13
32478.096133793057,-3,627,208,2014-06-24
6335.085396669143,-3,448,481,2010-06-27
5324.1867917943855,-3,467,212,2010-06-16
1293.127304989961,-3,205,449,2014-07-12
-2112.1545160204987,-3,475,478,2014-06-20
-4082.699947990669,-3,214,209,2006-06-15
-5684.135552472311,-3,203,466,2018-06-27
-862.7329528861737,-3,215,475,2014-06-25
-15124.935608100688,-3,4860,4789,2010-06-25
-21627.93276215266,-3,660,450,2006-06-12
-30509.39016005127,-3,207,205,2010-06-28
-37021.798629817116,-3,209,481,2006-06-20
-37751.71805368744,-3,659,459,2018-06-23
-40640.931853674374,-3,457,162,2006-06-30
-14316.616831250001,-3,202,477,2018-06-21
-2175.7083143515038,-2,468,210,2010-06-20
-2111.0088268502805,-2,477,203,2014-06-23
-1275.8242942157449,-2,466,448,2018-07-07
-74.07134933218185,-2,214,205,2018-06-22
6092.417727549597,-2,477,478,2018-07-15
10148.48683444163,-2,2627,210,2006-06-20
15416.25986985665,-2,479,627,2010-06-24
10704.9418735462,-2,455,451,2010-06-12
20589.56698880545,-2,481,451,2018-06-27
26088.87500410212,-2,450,4469,2006-06-17
28356.334239767573,-2,164,207,2014-06-18
-5293.946570626356,-2,627,628,2006-06-12
10700.868845022098,-2,212,208,2014-06-28
-7980.606457882415,-2,212,478,2018-07-06
-5790.971956040201,-2,628,211,2018-06-26
-31615.374713459147,-2,4356,478,2006-06-23
-34805.88803111152,-2,4469,162,2006-06-12
-30986.040278429085,-2,479,449,2010-06-14
-29567.963820042918,-2,4356,475,2006-06-19
-25937.323846367355,-2,628,205,2006-06-18
-22439.91441427375,-2,451,475,2006-06-23
-23942.550375945197,-2,628,207,2014-06-13
-20913.573087280467,-2,6757,205,2018-06-27
-17444.80512540607,-2,2620,454,2018-06-19
-11799.722693064366,-2,466,481,2006-06-24
-9995.06086598471,-2,203,205,2018-07-02
-8805.770513304604,-2,657,478,2014-06-30
-21927.524685966244,-2,477,205,2014-06-12
-8654.304118261654,-2,469,203,2006-06-11
-1705.5621124066965,-1,4789,455,2014-06-24
3362.0866325605384,-1,451,212,2010-06-26
569.613787319111,-1,448,477,2018-07-11
-1155.4796682907308,-1,446,4789,2006-06-21
-6909.998411535078,-1,2620,212,2018-06-15
-3658.7828555437336,-1,209,475,2014-06-15
-3973.1438836839825,-1,4356,451,2006-06-13
-5981.642813228049,-1,205,478,2006-07-01
-6072.92675811661,-1,208,627,2018-06-19
4332.019963635148,-1,203,212,2010-06-22
-3355.4048497449767,-1,482,478,2006-07-05
4495.296906090451,-1,628,478,2018-06-16
17239.506404723856,-1,459,478,2018-07-10
7558.297952595236,-1,4789,202,2006-06-10
7973.985570104458,-1,627,4789,2014-06-15
10845.170476344856,-1,2659,659,2018-06-28
11533.49887831312,-1,454,459,2014-06-22
12369.582528014245,-1,448,162,2014-06-14
21277.704045963583,-1,162,468,2010-06-24
27687.356528525357,-1,478,467,2010-06-22
29457.05664066999,-1,448,212,2014-06-19
