weight_chem_diff,goal_diff,team_1,team_2,date
-0.28305257034430903,-7,4860,482,2010-06-21
-0.5549952598400947,-6,205,481,2014-07-08
-0.026280891895074224,-6,446,202,2006-06-16
-0.2239060115210039,-5,655,454,2018-06-14
-0.7421258869353499,-4,628,481,2010-06-13
-0.22993082331103815,-4,482,481,2014-06-16
0.38531552279354364,-4,164,449,2014-06-13
0.616788185606491,-3,627,208,2014-06-24
0.19471653264749916,-3,467,212,2010-06-16
0.057576396297928226,-3,448,481,2010-06-27
0.013574704562680964,-3,205,449,2014-07-12
-0.027997275230168393,-3,475,478,2014-06-20
-0.0643209063950696,-3,203,466,2018-06-27
-0.21206892038789937,-3,202,477,2018-06-21
-0.012546968172611651,-3,215,475,2014-06-25
-0.3683399743418045,-3,4860,4789,2010-06-25
-0.4449876296227671,-3,660,450,2006-06-12
-0.46171185807318976,-3,207,205,2010-06-28
-0.4651876068993726,-3,457,162,2006-06-30
-0.5037598783059494,-3,659,459,2018-06-23
-0.6994307432482502,-3,209,481,2006-06-20
-0.22180246248650576,-3,214,209,2006-06-15
-0.06502217159452284,-2,628,211,2018-06-26
-0.026348753571224785,-2,477,203,2014-06-23
-0.013147251403960326,-2,466,448,2018-07-07
-0.0009177585153245423,-2,214,205,2018-06-22
0.05517964384772064,-2,477,478,2018-07-15
0.1477700263720523,-2,212,208,2014-06-28
0.3666914127474343,-2,479,627,2010-06-24
0.29279459013790693,-2,455,451,2010-06-12
0.37251940556075724,-2,2627,210,2006-06-20
0.38703348921386704,-2,481,451,2018-06-27
0.6129642399834038,-2,450,4469,2006-06-17
-0.10799057506857361,-2,212,478,2018-07-06
0.2749641238956532,-2,164,207,2014-06-18
-0.13357658672197908,-2,466,481,2006-06-24
-0.11909724798320105,-2,657,478,2014-06-30
-0.6578502672321209,-2,4469,162,2006-06-12
-0.7491300057527779,-2,4356,475,2006-06-19
-0.5762396752469477,-2,4356,478,2006-06-23
-0.5244254666044424,-2,628,207,2014-06-13
-0.5060380952943149,-2,451,475,2006-06-23
-0.45529795608734636,-2,628,205,2006-06-18
-0.4694608551652407,-2,479,449,2010-06-14
-0.3081700564123144,-2,6757,205,2018-06-27
-0.2844433011916752,-2,477,205,2014-06-12
-0.23363597482800796,-2,2620,454,2018-06-19
-0.19725855360580888,-2,627,628,2006-06-12
-0.14881649198972557,-2,468,210,2010-06-20
-0.4328792926211548,-2,469,203,2006-06-11
-0.13706292059437228,-2,203,205,2018-07-02
-0.03188166618452953,-1,482,478,2006-07-05
0.0781694437278195,-1,628,478,2018-06-16
0.005338044767903285,-1,448,477,2018-07-11
-0.025774717777533117,-1,4789,455,2014-06-24
-0.13245209719261558,-1,2620,212,2018-06-15
-0.05875347082674208,-1,209,475,2014-06-15
-0.06374459147026927,-1,205,478,2006-07-01
-0.09558231373670167,-1,449,482,2006-06-25
-0.09656991614181915,-1,202,478,2018-06-30
0.07964039068025953,-1,451,212,2010-06-26
-0.04536496038003043,-1,446,4789,2006-06-21
0.12096807620189487,-1,448,162,2014-06-14
0.25253614734752533,-1,2659,659,2018-06-28
0.15156847401598758,-1,203,212,2010-06-22
0.1531772072969263,-1,459,478,2018-07-10
0.17171365990207615,-1,454,459,2014-06-22
0.18216605418936757,-1,4789,202,2006-06-10
0.19138172724417435,-1,448,459,2018-06-28
0.31613345954659927,-1,448,212,2014-06-19
0.45895682576946256,-1,162,212,2014-06-24
0.5640998650236231,-1,162,468,2010-06-24
0.6504824555276241,-1,478,467,2010-06-22
0.8490477099325591,-1,164,475,2010-06-16
0.14591048418698593,-1,627,4789,2014-06-15
-0.162085522536843,-1,655,212,2018-06-20
-0.487207978221053,-1,656,449,2010-06-24
-0.17531097318258815,-1,653,482,2006-06-11
-0.1703292775892248,-1,208,627,2018-06-19
-0.8195510982190902,-1,210,448,2006-06-10
-0.8097871343117292,-1,210,164,2010-07-03
-0.807985326306049,-1,624,481,2014-06-30
-0.7631182736795163,-1,624,472,2010-06-13
-0.7101582435568403,-1,627,449,2010-06-19
-0.6709334440660363,-1,469,202,2014-06-21
-0.6416272006224143,-1,210,466,2006-06-15
-0.6332273017564632,-1,482,164,2010-06-29
-0.5904666729226196,-1,475,207,2010-06-21
-0.5857443829805441,-1,212,449,2010-07-06
-0.5614094923346656,-1,628,449,2014-06-18
-0.830165545637685,-1,4860,205,2010-06-15
-0.479100728794834,-1,624,459,2014-06-17
