chem_diff,goal_diff,team_1,team_2,date,rank_diff
-10246,-7,4860,482,2010-06-21,-964
-13468,-5,655,454,2018-06-14,8
-31327,-4,656,477,2014-06-18,-345
-28934,-4,628,481,2010-06-13,-196
-5275,-4,655,457,2006-06-19,42
10236,-3,455,208,2014-06-14,-73
6238,-3,448,481,2010-06-27,-14
2860,-3,467,212,2010-06-16,-508
-2732,-3,627,205,2006-06-22,-122
-3278,-3,215,478,2014-06-15,-182
-11304,-3,4860,4789,2010-06-25,-571
-279,-3,203,466,2018-06-27,109
-13114,-3,4469,205,2006-06-27,-227
-22371,-3,202,477,2018-06-21,296
-38571,-3,656,205,2014-06-23,-684
-39910,-3,659,459,2018-06-23,-388
-55956,-3,628,164,2014-06-23,-959
-12379,-3,207,205,2010-06-28,-723
-311,-2,482,481,2006-07-08,54
-88,-2,628,211,2018-06-26,-407
1442,-2,466,448,2018-07-07,-171
7514,-2,455,451,2010-06-12,332
9639,-2,471,209,2006-06-09,46
22160,-2,212,214,2014-06-14,385
17513,-2,451,624,2014-06-22,-311
22660,-2,479,627,2010-06-24,85
24933,-2,481,451,2018-06-27,1014
-1133,-2,214,205,2018-06-22,-547
16172,-2,477,478,2018-07-15,-253
-1219,-2,468,210,2010-06-20,-43
160,-2,207,449,2014-06-23,45
-5364,-2,203,205,2018-07-02,-442
-4835,-2,469,452,2014-06-25,-232
-33955,-2,479,449,2010-06-14,-464
-26134,-2,469,482,2006-06-17,-64
-25993,-2,214,481,2006-06-09,-13
-21197,-2,450,162,2006-06-22,44
-17021,-2,6757,205,2018-06-27,-680
-41779,-2,2627,448,2006-06-15,-137
-8418,-2,481,162,2006-07-04,-32
-8078,-2,164,478,2006-06-27,7
-7345,-2,659,164,2006-06-19,-63
-5447,-2,2620,454,2018-06-19,192
-14158,-2,212,478,2018-07-06,-180
508,-1,215,209,2014-06-20,-60
-515,-1,659,457,2006-06-23,84
-962,-1,4789,208,2014-06-19,-328
-1086,-1,202,478,2018-06-30,43
-2210,-1,448,459,2018-06-28,-247
-6060,-1,657,202,2010-06-12,-193
-7902,-1,4469,482,2014-06-26,-485
-7921,-1,203,202,2006-06-24,12
-8122,-1,657,455,2010-06-17,-81
1439,-1,203,212,2010-06-22,-4
-8405,-1,475,207,2010-06-21,-22
-3050,-1,2620,212,2018-06-15,-369
1785,-1,451,212,2010-06-26,-267
11543,-1,660,459,2014-07-01,-39
3572,-1,477,205,2006-06-13,-141
3585,-1,203,449,2014-06-29,-99
7101,-1,660,4469,2006-06-22,156
9540,-1,628,478,2018-06-16,-480
12308,-1,2659,659,2018-06-28,-339
13804,-1,452,657,2014-06-21,233
14475,-1,478,467,2010-06-22,653
19113,-1,162,468,2010-06-24,407
25963,-1,162,214,2014-06-20,342
30519,-1,459,478,2018-07-10,100
55262,-1,164,475,2010-06-16,699
-8859,-1,214,471,2006-06-20,6
3182,-1,451,459,2014-06-26,-527
-9605,-1,459,202,2014-07-05,-101
-15655,-1,655,164,2006-06-23,-105
-12249,-1,4469,660,2014-06-16,-331
-66336,-1,210,164,2010-07-03,-745
-11402,-1,208,627,2018-06-19,465
-55000,-1,478,481,2014-07-04,-387
-52638,-1,482,164,2010-06-29,-316
-51681,-1,202,481,2014-07-13,-125
-48538,-1,656,449,2010-06-24,-344
-47479,-1,627,449,2010-06-19,-549
-40391,-1,212,449,2010-07-06,-332
-38807,-1,657,202,2014-06-25,-535
-29087,-1,209,448,2006-06-25,-110
-25387,-1,451,203,2018-06-23,-445
-25042,-1,624,472,2010-06-13,-39
-23841,-1,628,162,2006-06-26,-116
-57011,-1,660,481,2014-06-26,-265
-20617,-1,4860,205,2010-06-15,-1326
-22307,-1,6757,475,2018-06-22,-448
-12624,-1,655,212,2018-06-20,-553
-13217,-1,451,466,2018-06-18,-336
-13582,-1,4789,449,2006-06-16,-99
-13643,-1,656,203,2014-06-13,-324
-12458,-1,203,482,2006-06-21,8
-14265,-1,448,477,2018-07-11,106
-16300,-1,475,202,2014-07-01,-26
-17100,-1,472,448,2010-06-23,-208
-19910,-1,452,202,2014-06-15,-302
-14043,-1,659,448,2018-06-18,-141
2761,0,479,478,2018-06-26,-147
10618,0,657,469,2014-06-16,-1
2902,0,475,215,2010-06-25,132
4069,0,205,482,2010-06-25,362
4327,0,475,457,2006-06-26,39
5642,0,628,479,2018-06-21,-333
