chem_diff,goal_diff,team_1,team_2,date,rank_diff
-6962.700963,-7,4860,482,2010-06-21,-964
-86685.51301,-6,205,481,2014-07-08,-58
-888.9293804,-6,446,202,2006-06-16,-136
-22909.0057,-5,655,454,2018-06-14,8
-43706.78111,-4,628,481,2010-06-13,-196
-37603.58398,-4,482,481,2014-06-16,-111
49741.1716,-4,164,449,2014-06-13,504
32478.09613,-3,627,208,2014-06-24,-511
6335.085397,-3,448,481,2010-06-27,-14
5324.186792,-3,467,212,2010-06-16,-508
1293.127305,-3,205,449,2014-07-12,261
-2112.154516,-3,475,478,2014-06-20,236
-4082.699948,-3,214,209,2006-06-15,52
-5684.135552,-3,203,466,2018-06-27,109
-862.7329529,-3,215,475,2014-06-25,-418
-15124.93561,-3,4860,4789,2010-06-25,-571
-21627.93276,-3,660,450,2006-06-12,-16
-30509.39016,-3,207,205,2010-06-28,-723
-37021.79863,-3,209,481,2006-06-20,-65
-37751.71805,-3,659,459,2018-06-23,-388
-40640.93185,-3,457,162,2006-06-30,-119
-14316.61683,-3,202,477,2018-06-21,296
-2175.708314,-2,468,210,2010-06-20,-43
-2111.008827,-2,477,203,2014-06-23,21
-1275.824294,-2,466,448,2018-07-07,-171
-74.07134933,-2,214,205,2018-06-22,-547
6092.417728,-2,477,478,2018-07-15,-253
10148.48683,-2,2627,210,2006-06-20,-49
15416.25987,-2,479,627,2010-06-24,85
10704.94187,-2,455,451,2010-06-12,332
20589.56699,-2,481,451,2018-06-27,1014
26088.875,-2,450,4469,2006-06-17,172
28356.33424,-2,164,207,2014-06-18,459
-5293.946571,-2,627,628,2006-06-12,93
10700.86885,-2,212,208,2014-06-28,10
-7980.606458,-2,212,478,2018-07-06,-180
-5790.971956,-2,628,211,2018-06-26,-407
-31615.37471,-2,4356,478,2006-06-23,-180
-34805.88803,-2,4469,162,2006-06-12,-128
-30986.04028,-2,479,449,2010-06-14,-464
-29567.96382,-2,4356,475,2006-06-19,-79
-25937.32385,-2,628,205,2006-06-18,-215
-22439.91441,-2,451,475,2006-06-23,29
-23942.55038,-2,628,207,2014-06-13,-500
-20913.57309,-2,6757,205,2018-06-27,-680
-17444.80513,-2,2620,454,2018-06-19,192
-11799.72269,-2,466,481,2006-06-24,13
-9995.060866,-2,203,205,2018-07-02,-442
-8805.770513,-2,657,478,2014-06-30,-273
-21927.52469,-2,477,205,2014-06-12,-339
-8654.304118,-2,469,203,2006-06-11,-72
-1705.562112,-1,4789,455,2014-06-24,-255
3362.086633,-1,451,212,2010-06-26,-267
569.6137873,-1,448,477,2018-07-11,106
-1155.479668,-1,446,4789,2006-06-21,-59
-6909.998412,-1,2620,212,2018-06-15,-369
-3658.782856,-1,209,475,2014-06-15,-358
-3973.143884,-1,4356,451,2006-06-13,-108
-5981.642813,-1,205,478,2006-07-01,78
-6072.926758,-1,208,627,2018-06-19,465
4332.019964,-1,203,212,2010-06-22,-4
-3355.40485,-1,482,478,2006-07-05,1
4495.296906,-1,628,478,2018-06-16,-480
17239.5064,-1,459,478,2018-07-10,100
7558.297953,-1,4789,202,2006-06-10,-77
7973.98557,-1,627,4789,2014-06-15,-183
10845.17048,-1,2659,659,2018-06-28,-339
11533.49888,-1,454,459,2014-06-22,-181
12369.58253,-1,448,162,2014-06-14,-14
21277.70405,-1,162,468,2010-06-24,407
27687.35653,-1,478,467,2010-06-22,653
29457.05664,-1,448,212,2014-06-19,-57
61444.94886,-1,162,212,2014-06-24,-43
86639.95523,-1,164,475,2010-06-16,699
5062.72376,-1,448,459,2018-06-28,-247
-6959.970013,-1,202,478,2018-06-30,43
-20889.83297,-1,624,459,2014-06-17,-216
-7797.740866,-1,449,482,2006-06-25,18
-6985.071756,-1,653,482,2006-06-11,-169
-95537.27415,-1,210,164,2010-07-03,-745
-79653.74851,-1,482,164,2010-06-29,-316
-49768.45476,-1,210,448,2006-06-10,-88
-43784.60898,-1,627,449,2010-06-19,-549
-42064.18458,-1,469,202,2014-06-21,-534
-39502.40436,-1,4860,205,2010-06-15,-1326
-37366.70575,-1,212,449,2010-07-06,-332
-32333.50193,-1,656,449,2010-06-24,-344
-31525.13894,-1,628,449,2014-06-18,-455
-30113.76987,-1,210,466,2006-06-15,-56
-25981.76127,-1,624,472,2010-06-13,-39
-105332.1777,-1,624,481,2014-06-30,-442
-20279.87881,-1,446,449,2006-06-11,-158
-10140.7047,-1,655,212,2018-06-20,-553
-13083.98037,-1,451,466,2018-06-18,-336
-13390.22263,-1,657,455,2010-06-17,-81
-15036.7399,-1,6757,475,2018-06-22,-448
-8214.866538,-1,657,202,2010-06-12,-193
-17195.08789,-1,208,205,2014-07-04,-105
-17231.63581,-1,475,207,2010-06-21,-22
-18884.97448,-1,659,448,2018-06-18,-141
-19580.2817,-1,451,203,2018-06-23,-445
-16180.30444,-1,472,448,2010-06-23,-208
9807.806401,0,478,475,2006-06-13,101
-256.7264892,0,660,482,2014-06-22,-154
2259.931217,0,205,475,2018-06-17,232
2436.937257,0,627,455,2014-06-19,-438
2711.086292,0,2666,468,2010-06-15,-367
3059.616651,0,628,479,2018-06-21,-333
3648.237846,0,653,203,2006-06-16,-177
5606.507748,0,472,660,2010-06-18,-97
6224.169189,0,4469,628,2010-06-19,-86
8606.424485,0,454,477,2018-07-07,-488
11162.95826,0,479,478,2018-06-26,-147
19106.41119,0,448,208,2018-07-03,65
15013.47485,0,477,628,2006-06-22,74
15845.7729,0,477,479,2018-07-01,-106
16831.04514,0,449,202,2006-06-21,22
16975.47606,0,448,660,2010-06-12,111
-1620.433914,0,214,475,2018-06-27,-315
19494.86749,0,205,203,2014-06-17,360
20112.01522,0,205,482,2010-06-25,362
31519.14649,0,482,469,2018-06-25,566
31965.75892,0,481,202,2006-06-30,-50
35913.57153,0,478,212,2010-06-11,145
83219.89328,0,481,4469,2014-06-21,596
12045.52743,0,653,469,2006-06-21,-105
-1988.873748,0,475,215,2010-06-25,132
-8712.568445,0,214,449,2014-07-05,-219
-5544.51767,0,654,627,2018-06-24,317
-3157.695652,0,448,214,2014-06-24,328
-52084.01033,0,624,448,2010-06-18,-247
-51612.51319,0,2869,164,2018-06-25,-440
-38360.94959,0,210,162,2010-06-14,-364
-36604.69258,0,660,162,2006-06-17,28
-34240.76774,0,624,454,2014-06-26,-35
-30710.68527,0,482,164,2018-06-15,148
