weight_chem_diff,goal_diff,team_1,team_2,date,rank_diff
-0.2830525703,-7,4860,482,2010-06-21,-964
-0.5549952598,-6,205,481,2014-07-08,-58
-0.0262808919,-6,446,202,2006-06-16,-136
-0.2239060115,-5,655,454,2018-06-14,8
-0.7421258869,-4,628,481,2010-06-13,-196
-0.2299308233,-4,482,481,2014-06-16,-111
0.3853155228,-4,164,449,2014-06-13,504
0.6167881856,-3,627,208,2014-06-24,-511
0.1947165326,-3,467,212,2010-06-16,-508
0.0575763963,-3,448,481,2010-06-27,-14
0.01357470456,-3,205,449,2014-07-12,261
-0.02799727523,-3,475,478,2014-06-20,236
-0.0643209064,-3,203,466,2018-06-27,109
-0.2120689204,-3,202,477,2018-06-21,296
-0.01254696817,-3,215,475,2014-06-25,-418
-0.3683399743,-3,4860,4789,2010-06-25,-571
-0.4449876296,-3,660,450,2006-06-12,-16
-0.4617118581,-3,207,205,2010-06-28,-723
-0.4651876069,-3,457,162,2006-06-30,-119
-0.5037598783,-3,659,459,2018-06-23,-388
-0.6994307432,-3,209,481,2006-06-20,-65
-0.2218024625,-3,214,209,2006-06-15,52
-0.06502217159,-2,628,211,2018-06-26,-407
-0.02634875357,-2,477,203,2014-06-23,21
-0.0131472514,-2,466,448,2018-07-07,-171
-0.0009177585153,-2,214,205,2018-06-22,-547
0.05517964385,-2,477,478,2018-07-15,-253
0.1477700264,-2,212,208,2014-06-28,10
0.3666914127,-2,479,627,2010-06-24,85
0.2927945901,-2,455,451,2010-06-12,332
0.3725194056,-2,2627,210,2006-06-20,-49
0.3870334892,-2,481,451,2018-06-27,1014
0.61296424,-2,450,4469,2006-06-17,172
-0.1079905751,-2,212,478,2018-07-06,-180
0.2749641239,-2,164,207,2014-06-18,459
-0.1335765867,-2,466,481,2006-06-24,13
-0.119097248,-2,657,478,2014-06-30,-273
-0.6578502672,-2,4469,162,2006-06-12,-128
-0.7491300058,-2,4356,475,2006-06-19,-79
-0.5762396752,-2,4356,478,2006-06-23,-180
-0.5244254666,-2,628,207,2014-06-13,-500
-0.5060380953,-2,451,475,2006-06-23,29
-0.4552979561,-2,628,205,2006-06-18,-215
-0.4694608552,-2,479,449,2010-06-14,-464
-0.3081700564,-2,6757,205,2018-06-27,-680
-0.2844433012,-2,477,205,2014-06-12,-339
-0.2336359748,-2,2620,454,2018-06-19,192
-0.1972585536,-2,627,628,2006-06-12,93
-0.148816492,-2,468,210,2010-06-20,-43
-0.4328792926,-2,469,203,2006-06-11,-72
-0.1370629206,-2,203,205,2018-07-02,-442
-0.03188166618,-1,482,478,2006-07-05,1
0.07816944373,-1,628,478,2018-06-16,-480
0.005338044768,-1,448,477,2018-07-11,106
-0.02577471778,-1,4789,455,2014-06-24,-255
-0.1324520972,-1,2620,212,2018-06-15,-369
-0.05875347083,-1,209,475,2014-06-15,-358
-0.06374459147,-1,205,478,2006-07-01,78
-0.09558231374,-1,449,482,2006-06-25,18
-0.09656991614,-1,202,478,2018-06-30,43
0.07964039068,-1,451,212,2010-06-26,-267
-0.04536496038,-1,446,4789,2006-06-21,-59
0.1209680762,-1,448,162,2014-06-14,-14
0.2525361473,-1,2659,659,2018-06-28,-339
0.151568474,-1,203,212,2010-06-22,-4
0.1531772073,-1,459,478,2018-07-10,100
0.1717136599,-1,454,459,2014-06-22,-181
0.1821660542,-1,4789,202,2006-06-10,-77
0.1913817272,-1,448,459,2018-06-28,-247
0.3161334595,-1,448,212,2014-06-19,-57
0.4589568258,-1,162,212,2014-06-24,-43
0.564099865,-1,162,468,2010-06-24,407
