weight_chem_diff,goal_diff,team_1,team_2,date,rank_diff
-0.4471111887,-7,4860,482,2010-06-21,-964
-0.1669476398,-5,655,454,2018-06-14,8
-0.6524307748,-4,628,481,2010-06-13,-196
-0.5155095526,-4,656,477,2014-06-18,-345
-0.262974226,-4,655,457,2006-06-19,42
0.1819215867,-3,455,208,2014-06-14,-73
0.1367243522,-3,467,212,2010-06-16,-508
0.07099123705,-3,448,481,2010-06-27,-14
-0.05215592681,-3,215,478,2014-06-15,-182
-0.1696051651,-3,627,205,2006-06-22,-122
-0.2955959884,-3,202,477,2018-06-21,296
-0.003164664648,-3,203,466,2018-06-27,109
-0.4111229544,-3,4469,205,2006-06-27,-227
-0.412886259,-3,4860,4789,2010-06-25,-571
-0.5362805697,-3,659,459,2018-06-23,-388
-0.593171857,-3,656,205,2014-06-23,-684
-0.7369225096,-3,628,164,2014-06-23,-959
-0.3319033702,-3,207,205,2010-06-28,-723
-0.004406284978,-2,482,481,2006-07-08,54
-0.001020692215,-2,628,211,2018-06-26,-407
0.01799665527,-2,466,448,2018-07-07,-171
0.1583813217,-2,477,478,2018-07-15,-253
0.2203260615,-2,455,451,2010-06-12,332
0.4420545746,-2,471,209,2006-06-09,46
0.4295904478,-2,481,451,2018-06-27,1014
0.4645481313,-2,451,624,2014-06-22,-311
0.5309527157,-2,479,627,2010-06-24,85
-0.01297660089,-2,214,205,2018-06-22,-547
0.4008103024,-2,212,214,2014-06-14,385
-0.06662691906,-2,203,205,2018-07-02,-442
0.002659397646,-2,207,449,2014-06-23,45
-0.1037464526,-2,2620,454,2018-06-19,192
-0.0906387092,-2,468,210,2010-06-20,-43
-0.7436764627,-2,2627,448,2006-06-15,-137
-0.63543085,-2,469,482,2006-06-17,-64
-0.463505194,-2,479,449,2010-06-14,-464
-0.3214930308,-2,450,162,2006-06-22,44
-0.2494450122,-2,212,478,2018-07-06,-180
-0.8121543509,-2,214,481,2006-06-09,-13
-0.2238032847,-2,659,164,2006-06-19,-63
-0.164601842,-2,164,478,2006-06-27,7
-0.154814127,-2,469,452,2014-06-25,-232
-0.1228295445,-2,481,162,2006-07-04,-32
-0.2280809895,-2,6757,205,2018-06-27,-680
0.009219935388,-1,215,209,2014-06-20,-60
-0.01418124837,-1,202,478,2018-06-30,43
-0.01752833464,-1,659,457,2006-06-23,84
-0.01921079958,-1,4789,208,2014-06-19,-328
-0.0662470024,-1,448,459,2018-06-28,-247
-0.1388654576,-1,4469,482,2014-06-26,-485
-0.1429209136,-1,459,202,2014-07-05,-101
-0.1473794051,-1,448,477,2018-07-11,106
-0.1958099082,-1,475,202,2014-07-01,-26
0.05062057864,-1,203,449,2014-06-29,-99
-0.2022455213,-1,4469,660,2014-06-16,-331
-0.06947291695,-1,2620,212,2018-06-15,-369
0.05786249149,-1,451,212,2010-06-26,-267
0.2700390207,-1,459,478,2018-07-10,100
0.08450180582,-1,451,459,2014-06-26,-527
0.08590668591,-1,477,205,2006-06-13,-141
0.1621070518,-1,628,478,2018-06-16,-480
0.1916582264,-1,660,459,2014-07-01,-39
0.2915206063,-1,2659,659,2018-06-28,-339
0.3278548356,-1,452,657,2014-06-21,233
0.4043514149,-1,162,214,2014-06-20,342
0.4142698792,-1,660,4469,2006-06-22,156
0.5283425193,-1,478,467,2010-06-22,653
0.5672354949,-1,162,468,2010-06-24,407
0.7574494915,-1,164,475,2010-06-16,699
-0.2035984411,-1,451,466,2018-06-18,-336
0.06782936601,-1,203,212,2010-06-22,-4
-0.2193799527,-1,655,212,2018-06-20,-553
-0.3941753037,-1,475,207,2010-06-21,-22
-0.2331733392,-1,472,448,2010-06-23,-208
-0.8727260054,-1,624,472,2010-06-13,-39
-0.2299253882,-1,208,627,2018-06-19,465
-0.7465368952,-1,627,449,2010-06-19,-549
-0.7112498706,-1,4860,205,2010-06-15,-1326
-0.6933801891,-1,656,449,2010-06-24,-344
-0.6729702261,-1,212,449,2010-07-06,-332
-0.5974394479,-1,482,164,2010-06-29,-316
-0.5782129013,-1,209,448,2006-06-25,-110
-0.5478351709,-1,657,202,2014-06-25,-535
-0.5219203201,-1,655,164,2006-06-23,-105
-0.4781799119,-1,660,481,2014-06-26,-265
-0.4659084247,-1,628,162,2006-06-26,-116
-0.4537600421,-1,202,481,2014-07-13,-125
-0.8489378039,-1,210,164,2010-07-03,-745
-0.4359106441,-1,451,203,2018-06-23,-445
-0.4425262859,-1,203,482,2006-06-21,8
-0.2418582375,-1,657,202,2010-06-12,-193
-0.2455609251,-1,6757,475,2018-06-22,-448
-0.2773268559,-1,659,448,2018-06-18,-141
-0.3274886506,-1,452,202,2014-06-15,-302
-0.2342929672,-1,657,455,2010-06-17,-81
-0.3572894197,-1,4789,449,2006-06-16,-99
-0.4066559559,-1,214,471,2006-06-20,6
-0.417710944,-1,478,481,2014-07-04,-387
-0.420859678,-1,203,202,2006-06-24,12
-0.3471236292,-1,656,203,2014-06-13,-324
0.07190082645,0,4469,628,2010-06-19,-86
0.1751478331,0,448,208,2018-07-03,65
0.0852729581,0,628,479,2018-06-21,-333
0.09533000911,0,162,478,2006-07-09,-21
0.1065055259,0,475,457,2006-06-26,39
0.1183620197,0,475,215,2010-06-25,132
0.1301788399,0,205,482,2010-06-25,362
0.1302516917,0,205,207,2014-06-28,216
0.1321621562,0,472,660,2010-06-18,-97
0.1493150925,0,449,214,2014-07-05,219
0.176076339,0,482,660,2014-06-22,154
0.3728516088,0,448,660,2010-06-12,111
0.2079150409,0,448,482,2006-07-01,-9
0.2352025295,0,209,478,2014-06-25,-122
0.3475380053,0,477,479,2018-07-01,-106
0.356865038,0,482,469,2018-06-25,566
0.4630596654,0,162,660,2006-06-17,-28
0.4652917259,0,454,624,2014-06-26,35
0.4914830587,0,657,469,2014-06-16,-1
0.5157127186,0,477,627,2006-06-18,-19
0.5722811671,0,466,2627,2006-06-10,105
0.700323475,0,478,212,2010-06-11,145
0.0638987248,0,479,478,2018-06-26,-147
0.1925509861,0,455,214,2014-06-29,302
0.05317919075,0,2666,468,2010-06-15,-367
-0.1014923445,0,203,653,2006-06-16,177
-0.01327971012,0,454,451,2014-06-17,346
0.02064846416,0,214,448,2014-06-24,-328
-0.7653359619,0,210,162,2010-06-14,-364
-0.5655068332,0,2869,164,2018-06-25,-440
-0.5604461026,0,202,481,2006-06-30,50
-0.5387088133,0,2666,162,2010-06-20,-774
-0.5104623571,0,202,449,2006-06-21,-22
-0.4676786234,0,4469,481,2014-06-21,-596
-0.4499204827,0,482,164,2018-06-15,148
-0.3531887827,0,475,478,2006-06-13,-101
-0.3500273752,0,628,477,2006-06-22,-74
-0.3481540824,0,454,164,2018-07-01,-669
-0.3310743634,0,654,627,2018-06-24,317
-0.877843317,0,624,448,2010-06-18,-247
-0.2703127376,0,210,627,2010-06-29,138
-0.2666148739,0,210,2666,2010-06-24,410
-0.2586275645,0,203,205,2014-06-17,-360
-0.255146857,0,469,653,2006-06-21,105
-0.1672147651,0,455,627,2014-06-19,438
-0.1497098646,0,657,451,2010-06-22,251
-0.1259757668,0,482,4789,2010-06-15,393
-0.1034158276,0,202,470,2018-06-16,333
-0.1010050889,0,214,475,2018-06-27,-315
-0.2772351994,0,454,477,2018-07-07,-488
-0.06056104337,0,205,475,2018-06-17,232
0.390513811,1,449,446,2006-06-11,158
0.3811065825,1,202,657,2018-06-26,623
0.3155928646,1,660,624,2010-06-23,136
0.3020033976,1,482,2869,2018-06-20,588
0.1686579394,1,478,205,2006-07-01,-78
0.2363288616,1,205,208,2014-07-04,105
0.2100536798,1,482,449,2006-06-25,-18
0.3997399336,1,449,205,2010-07-02,-380
0.157587393,1,481,466,2018-06-23,678
0.2546668538,1,208,654,2018-06-28,148
0.4065790951,1,479,656,2010-06-19,-120
0.5853552321,1,482,653,2006-06-11,169
0.4411577365,1,481,4469,2010-06-23,282
0.4537633327,1,459,624,2014-06-17,216
0.5094130921,1,449,628,2014-06-18,455
0.623486149,1,164,469,2018-06-20,418
0.6609954723,1,202,469,2014-06-21,534
0.6733435167,1,466,210,2006-06-15,56
0.7010225852,1,164,207,2010-06-25,677
0.7137701553,1,449,468,2010-06-28,454
0.7459695136,1,481,624,2014-06-30,442
0.1568468304,1,475,209,2014-06-15,358
0.8196999605,1,448,210,2006-06-10,88
0.4206202213,1,207,215,2010-06-16,154
0.144090992,1,4789,446,2006-06-21,59
0.2825949589,1,459,627,2018-07-02,777
0.1165677823,1,459,205,2018-07-06,-133
0.1324632168,1,459,454,2014-06-22,181
-0.7150971211,1,6757,481,2010-06-18,-135
-0.5722539846,1,654,471,2018-06-19,-345
-0.4266879165,1,627,656,2010-06-14,-205
-0.2885342056,1,477,470,2018-06-26,37
-0.2815128227,1,203,481,2018-06-17,-569
-0.2608784236,1,4469,660,2010-06-26,-157
-0.2311255824,1,162,448,2014-06-14,14
-0.1805344819,1,212,448,2014-06-19,57
-0.1454689432,1,6757,214,2018-06-17,-133
-0.1453230511,1,202,4789,2006-06-10,77
-0.1249702703,1,479,211,2018-06-16,-74
-0.2534628585,1,212,482,2018-06-30,-256
-0.1079305587,1,655,2620,2018-06-25,-184
-0.09247071132,1,466,475,2018-07-03,-319
-0.08134651418,1,471,627,2018-06-28,662
-0.07920889501,1,478,482,2006-07-05,-1
-0.06392595424,1,4789,627,2014-06-15,183
-0.05460825107,1,455,4789,2014-06-24,255
-0.04234659474,1,628,6757,2010-06-23,-61
-0.0371978186,1,212,162,2014-06-24,43
-0.03559819024,1,478,211,2018-06-21,73
-0.01177151679,1,451,4356,2006-06-13,108
-0.121123464,1,4469,6757,2010-06-13,-147
0.1062726574,1,469,2869,2018-06-15,22
0.3058194774,2,478,657,2014-06-30,273
0.3262823545,2,205,628,2006-06-18,215
0.3870405503,2,477,657,2018-06-16,327
0.4066008083,2,628,627,2006-06-12,-93
0.7490143369,2,475,4356,2006-06-19,79
0.5294330901,2,207,628,2014-06-13,500
0.5897769565,2,478,4356,2006-06-23,180
0.6472572287,2,162,4469,2006-06-12,128
0.7416833701,2,164,215,2010-06-21,831
0.2823965652,2,459,448,2018-07-14,247
0.5240925494,2,475,451,2006-06-23,-29
0.214906013,2,202,203,2010-06-27,181
-0.05956183533,2,202,455,2010-06-22,112
0.1175331921,2,205,477,2014-06-12,339
0.1328025671,2,481,466,2006-06-24,-13
-0.6047864989,2,4469,450,2006-06-17,-172
-0.3933150183,2,657,470,2018-06-22,-290
-0.3143817333,2,207,164,2014-06-18,-459
-0.592377488,2,203,478,2010-06-17,-149
-0.09876042371,2,208,212,2014-06-28,-10
-0.08466347922,2,210,2627,2006-06-20,49
-0.01014962097,2,205,4789,2010-06-20,755
-0.004791123813,2,203,469,2006-06-11,72
-0.2213847368,2,203,477,2014-06-23,-21
0.2066829901,3,209,214,2006-06-15,-52
0.6723083348,3,481,209,2006-06-20,65
0.5343421023,3,162,457,2006-06-30,119
0.4418554184,3,450,660,2006-06-12,16
0.3016636169,3,459,2659,2018-06-18,727
0.1631622037,3,208,471,2018-06-24,-197
-0.0003798670465,3,212,454,2018-06-25,561
0.07750214316,3,478,475,2014-06-20,-236
0.05549969837,3,475,215,2014-06-25,418
-0.05532712977,3,449,205,2014-07-12,-261
-0.5022766755,3,208,627,2014-06-24,511
0.1515814945,3,202,451,2010-06-17,444
-0.4265232975,4,449,164,2014-06-13,-504
0.0626034279,4,481,482,2014-06-16,111
-0.1146263681,5,448,2659,2018-06-24,480
-0.05458850353,6,202,446,2006-06-16,136
0.5240830221,6,481,205,2014-07-08,58
